geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,62868,2334,441,1464,67107,17,67103,62868,2331,441,1463,18.0
17003,5018,2915,16,289,8238,17,8238,5018,2915,16,289,18.0
17005,16143,1081,68,477,17769,17,17768,16143,1080,68,477,18.0
17007,45724,1064,686,6691,54165,17,54165,45724,1064,686,6691,18.0
17009,5276,1280,16,365,6937,17,6937,5276,1280,16,365,18.0
17011,32937,212,228,1601,34978,17,34978,32937,212,228,1601,18.0
17013,5032,7,12,38,5089,17,5089,5032,7,12,38,18.0
17015,14906,123,53,305,15387,17,15387,14906,123,53,305,18.0
17017,11769,419,43,1410,13641,17,13642,11769,419,44,1410,18.0
17019,147600,24946,17971,10566,201083,17,201081,147600,24946,17969,10566,18.0
17021,33611,495,167,528,34801,17,34800,33610,495,167,528,18.0
17023,16027,48,55,205,16335,17,16335,16027,48,55,205,18.0
17025,13500,47,65,206,13818,17,13815,13499,47,63,206,18.0
17027,35284,1338,167,973,37762,17,37762,35284,1338,167,973,18.0
17029,50029,2068,532,1246,53875,17,53873,50029,2067,531,1246,18.0
17031,2877210,1287773,322673,707029,5194685,17,5194675,2877212,1287767,322672,707024,18.0
17033,18381,934,103,399,19817,17,19817,18381,934,103,399,18.0
17035,10856,38,27,127,11048,17,11048,10856,38,27,127,18.0
17037,89455,6732,2438,6537,105162,17,105160,89453,6732,2438,6537,18.0
17039,16035,87,60,379,16561,17,16561,16035,87,60,379,18.0
17041,19113,58,83,726,19980,17,19980,19113,58,83,726,18.0
17043,714139,42349,92304,68135,916927,17,916924,714140,42346,92304,68134,18.0
17045,18267,64,33,211,18575,17,18576,18268,64,33,211,18.0
17047,6584,30,22,85,6721,17,6721,6584,30,22,85,18.0
17049,33428,80,147,587,34242,17,34242,33429,79,147,587,18.0
17051,20750,980,52,359,22141,17,22140,20750,980,51,359,18.0
17053,13677,85,37,282,14081,17,14081,13677,85,37,282,18.0
17055,38641,123,125,673,39562,17,39561,38641,123,124,673,18.0
17057,34625,1269,112,1064,37070,17,37069,34625,1269,112,1063,18.0
17059,5473,12,5,99,5589,17,5589,5473,12,5,99,18.0
17061,13588,119,16,163,13886,17,13886,13588,119,16,163,18.0
17063,46933,605,327,2199,50064,17,50063,46933,605,327,2198,18.0
17065,8305,31,19,103,8458,17,8457,8305,31,19,102,18.0
17067,18723,52,46,283,19104,17,19104,18723,52,46,283,18.0
17069,4205,13,22,80,4320,17,4320,4205,13,22,80,18.0
17071,7199,15,16,103,7333,17,7331,7198,15,15,103,18.0
17073,47846,796,191,1654,50487,17,50486,47846,796,191,1653,18.0
17075,28156,233,103,1227,29719,17,29718,28155,233,103,1227,18.0
17077,46876,8589,1910,2844,60219,17,60218,46875,8589,1910,2844,18.0
17079,9564,11,24,99,9698,17,9698,9564,11,24,99,18.0
17081,34316,3251,246,1016,38829,17,38827,34315,3251,246,1015,18.0
17083,22432,93,77,384,22986,17,22985,22431,93,77,384,18.0
17085,22045,107,72,453,22677,17,22678,22046,107,72,453,18.0
17087,11197,1006,22,357,12582,17,12582,11197,1006,22,357,18.0
17089,384548,29422,17895,83405,515270,17,515269,384548,29422,17895,83404,18.0
17091,87985,17187,1052,7226,113450,17,113449,87986,17187,1052,7224,18.0
17093,95892,6585,3467,8794,114738,17,114736,95891,6585,3467,8793,18.0
17095,46328,3810,339,2442,52919,17,52919,46329,3810,338,2442,18.0
17097,528206,49033,44360,81867,703466,17,703462,528204,49033,44358,81867,18.0
17099,106187,2186,762,4789,113924,17,113924,106187,2186,762,4789,18.0
17101,14696,1608,38,491,16833,17,16833,14696,1608,38,491,18.0
17103,32746,1736,246,1305,36033,17,36031,32745,1735,246,1305,18.0
17105,35752,1916,200,1084,38952,17,38950,35752,1915,199,1084,18.0
17107,27008,2285,185,827,30305,17,30305,27008,2285,184,828,18.0
17109,29476,1642,580,914,32612,17,32612,29476,1642,580,914,18.0
17111,278255,3283,7808,19413,308759,17,308760,278257,3283,7807,19413,18.0
17113,142940,12427,7228,6980,169575,17,169572,142940,12426,7227,6979,18.0
17115,87856,18027,1118,3768,110769,17,110768,87855,18027,1118,3768,18.0
17117,46596,359,129,682,47766,17,47765,46596,359,129,681,18.0
17119,237641,21234,2255,8151,269281,17,269282,237641,21235,2254,8152,18.0
17121,36734,1559,224,922,39439,17,39437,36734,1557,224,922,18.0
17123,12271,44,45,281,12641,17,12640,12271,44,45,280,18.0
17125,14383,54,40,190,14667,17,14666,14382,54,40,190,18.0
17127,14033,904,42,450,15429,17,15429,14033,904,42,450,18.0
17129,12384,76,30,216,12706,17,12705,12383,76,30,216,18.0
17131,16153,47,52,182,16434,17,16434,16153,47,52,182,18.0
17133,32288,69,144,457,32958,17,32957,32287,69,144,457,18.0
17135,28633,954,111,409,30107,17,30104,28632,952,111,409,18.0
17137,32322,2122,168,936,35548,17,35547,32321,2122,168,936,18.0
17139,14621,41,31,152,14845,17,14846,14622,41,31,152,18.0
17141,49867,485,250,2897,53499,17,53497,49867,483,250,2897,18.0
17143,138801,33030,5856,8809,186496,17,186494,138800,33030,5856,8808,18.0
17145,19656,1866,87,741,22350,17,22350,19656,1866,87,741,18.0
17147,16393,58,51,227,16729,17,16729,16393,58,51,227,18.0
17149,15928,275,38,190,16431,17,16430,15928,275,38,189,18.0
17151,4098,269,11,92,4470,17,4470,4098,269,11,92,18.0
17153,3965,1994,13,189,6161,17,6161,3965,1994,13,189,18.0
17155,5803,32,13,158,6006,17,6006,5803,32,13,158,18.0
17157,29318,3263,104,791,33476,17,33476,29318,3263,104,791,18.0
17159,15795,79,119,241,16234,17,16233,15795,78,119,241,18.0
17161,120382,13289,2419,11456,147546,17,147546,120382,13289,2419,11456,18.0
17163,174460,82303,3277,10020,270060,17,270056,174458,82302,3276,10020,18.0
17165,23178,995,101,639,24913,17,24913,23178,995,101,639,18.0
17167,165105,23335,3222,5808,197470,17,197465,165103,23335,3220,5807,18.0
17169,7205,243,9,87,7544,17,7544,7205,243,9,87,18.0
17171,5279,9,13,55,5356,17,5355,5279,9,12,55,18.0
17173,22044,52,57,212,22365,17,22363,22045,50,56,212,18.0
17175,5855,28,19,92,5994,17,5994,5855,28,19,92,18.0
17177,41291,4275,297,1848,47711,17,47711,41291,4275,297,1848,18.0
17179,130225,1374,1001,2796,135396,17,135394,130225,1374,999,2796,18.0
17181,16880,156,54,718,17808,17,17808,16880,156,54,718,18.0
17183,67324,10571,564,3167,81626,17,81625,67323,10571,564,3167,18.0
17185,11576,77,70,224,11947,17,11947,11576,77,70,224,18.0
17187,16164,303,94,1145,17706,17,17707,16165,303,94,1145,18.0
17189,14376,101,42,197,14716,17,14716,14376,101,42,197,18.0
17191,16427,42,71,220,16760,17,16760,16427,42,71,220,18.0
17193,14393,56,31,185,14665,17,14665,14393,56,31,185,18.0
17195,53924,781,276,3519,58500,17,58498,53923,781,276,3518,18.0
17197,514662,75747,30834,56322,677565,17,677560,514664,75743,30833,56320,18.0
17199,61542,2540,561,1714,66357,17,66357,61542,2540,561,1714,18.0
17201,228653,36108,6810,23697,295268,17,295266,228652,36108,6810,23696,18.0
17203,37643,188,213,622,38666,17,38664,37643,187,213,621,18.0
