geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,62870,2331,441,1463,67105,17,67103,62868,2331,441,1463,19.0
17003,5018,2915,16,289,8238,17,8238,5018,2915,16,289,19.0
17005,16143,1081,68,477,17769,17,17768,16143,1080,68,477,19.0
17007,45724,1064,686,6691,54165,17,54165,45724,1064,686,6691,19.0
17009,5276,1280,16,365,6937,17,6937,5276,1280,16,365,19.0
17011,32937,212,230,1601,34980,17,34978,32937,212,228,1601,19.0
17013,5032,7,12,38,5089,17,5089,5032,7,12,38,19.0
17015,14905,123,53,305,15386,17,15387,14906,123,53,305,19.0
17017,11769,419,44,1411,13643,17,13642,11769,419,44,1410,19.0
17019,147600,24946,17969,10566,201081,17,201081,147600,24946,17969,10566,19.0
17021,33610,495,167,528,34800,17,34800,33610,495,167,528,19.0
17023,16027,48,55,205,16335,17,16335,16027,48,55,205,19.0
17025,13499,47,63,206,13815,17,13815,13499,47,63,206,19.0
17027,35284,1338,167,973,37762,17,37762,35284,1338,167,973,19.0
17029,50030,2067,531,1246,53874,17,53873,50029,2067,531,1246,19.0
17031,2877213,1287771,322676,707028,5194688,17,5194675,2877212,1287767,322672,707024,19.0
17033,18382,934,103,399,19818,17,19817,18381,934,103,399,19.0
17035,10856,38,27,127,11048,17,11048,10856,38,27,127,19.0
17037,89453,6732,2438,6537,105160,17,105160,89453,6732,2438,6537,19.0
17039,16035,87,60,379,16561,17,16561,16035,87,60,379,19.0
17041,19113,58,83,726,19980,17,19980,19113,58,83,726,19.0
17043,714141,42346,92304,68136,916927,17,916924,714140,42346,92304,68134,19.0
17045,18267,64,33,211,18575,17,18576,18268,64,33,211,19.0
17047,6584,30,22,85,6721,17,6721,6584,30,22,85,19.0
17049,33429,79,147,587,34242,17,34242,33429,79,147,587,19.0
17051,20750,980,51,360,22141,17,22140,20750,980,51,359,19.0
17053,13677,85,37,282,14081,17,14081,13677,85,37,282,19.0
17055,38640,123,124,673,39560,17,39561,38641,123,124,673,19.0
17057,34625,1269,112,1063,37069,17,37069,34625,1269,112,1063,19.0
17059,5473,13,5,99,5590,17,5589,5473,12,5,99,19.0
17061,13588,119,16,163,13886,17,13886,13588,119,16,163,19.0
17063,46933,605,327,2199,50064,17,50063,46933,605,327,2198,19.0
17065,8305,31,19,102,8457,17,8457,8305,31,19,102,19.0
17067,18723,52,46,283,19104,17,19104,18723,52,46,283,19.0
17069,4205,13,22,80,4320,17,4320,4205,13,22,80,19.0
17071,7198,15,15,103,7331,17,7331,7198,15,15,103,19.0
17073,47846,796,191,1653,50486,17,50486,47846,796,191,1653,19.0
17075,28155,233,104,1227,29719,17,29718,28155,233,103,1227,19.0
17077,46875,8589,1910,2844,60218,17,60218,46875,8589,1910,2844,19.0
17079,9564,11,24,99,9698,17,9698,9564,11,24,99,19.0
17081,34315,3252,246,1015,38828,17,38827,34315,3251,246,1015,19.0
17083,22431,93,77,384,22985,17,22985,22431,93,77,384,19.0
17085,22046,107,72,453,22678,17,22678,22046,107,72,453,19.0
17087,11197,1006,22,357,12582,17,12582,11197,1006,22,357,19.0
17089,384548,29422,17895,83405,515270,17,515269,384548,29422,17895,83404,19.0
17091,87986,17187,1052,7224,113449,17,113449,87986,17187,1052,7224,19.0
17093,95891,6585,3467,8793,114736,17,114736,95891,6585,3467,8793,19.0
