geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,61407,3404,1638,2521,68970,17,67103,62868,2331,441,1463,1.0
17003,4932,2994,367,648,8941,17,8238,5018,2915,16,289,1.0
17005,15377,1492,626,890,18385,17,17768,16143,1080,68,477,1.0
17007,45108,1550,1176,6929,54763,17,54165,45724,1064,686,6691,1.0
17009,5010,1599,310,698,7617,17,6937,5276,1280,16,365,1.0
17011,31085,1537,1514,2612,36748,17,34978,32937,212,228,1601,1.0
17013,4826,228,214,219,5487,17,5089,5032,7,12,38,1.0
17015,13986,755,701,897,16339,17,15387,14906,123,53,305,1.0
17017,11092,978,700,1776,14546,17,13642,11769,419,44,1410,1.0
17019,145891,26564,19920,12275,204650,17,201081,147600,24946,17969,10566,1.0
17021,32088,1486,1133,1483,36190,17,34800,33610,495,167,528,1.0
17023,15043,682,703,769,17197,17,16335,16027,48,55,205,1.0
17025,12703,597,577,643,14520,17,13815,13499,47,63,206,1.0
17027,33898,2072,1047,1673,38690,17,37762,35284,1338,167,973,1.0
17029,48642,2860,1505,2027,55034,17,53873,50029,2067,531,1246,1.0
17031,2866607,1293142,345960,716982,5222691,17,5194675,2877212,1287767,322672,707024,1.0
17033,17458,1547,747,992,20744,17,19817,18381,934,103,399,1.0
17035,10245,500,447,573,11765,17,11048,10856,38,27,127,1.0
17037,88186,7749,3613,7220,106768,17,105160,89453,6732,2438,6537,1.0
17039,15024,678,724,962,17388,17,16561,16035,87,60,379,1.0
17041,18136,840,842,1417,21235,17,19980,19113,58,83,726,1.0
17043,711260,46824,95003,71453,924540,17,916924,714140,42346,92304,68134,1.0
17045,16933,1122,1006,1201,20262,17,18576,18268,64,33,211,1.0
17047,6204,293,263,331,7091,17,6721,6584,30,22,85,1.0
17049,32081,810,868,1239,34998,17,34242,33429,79,147,587,1.0
17051,19625,1909,958,1227,23719,17,22140,20750,980,51,359,1.0
17053,12940,581,571,688,14780,17,14081,13677,85,37,282,1.0
17055,36599,1306,1467,1772,41144,17,39561,38641,123,124,673,1.0
17057,32886,2271,1126,1877,38160,17,37069,34625,1269,112,1063,1.0
17059,5108,301,292,346,6047,17,5589,5473,12,5,99,1.0
17061,12574,714,571,687,14546,17,13886,13588,119,16,163,1.0
17063,46045,2153,1797,3453,53448,17,50063,46933,605,327,2198,1.0
17065,7764,456,434,450,9104,17,8457,8305,31,19,102,1.0
17067,17435,864,789,1011,20099,17,19104,18723,52,46,283,1.0
17069,3949,165,175,225,4514,17,4320,4205,13,22,80,1.0
17071,6688,461,453,535,8137,17,7331,7198,15,15,103,1.0
17073,46402,1773,1381,2562,52118,17,50486,47846,796,191,1653,1.0
17075,26607,1442,1262,2256,31567,17,29718,28155,233,103,1227,1.0
17077,46356,9477,2997,3733,62563,17,60218,46875,8589,1910,2844,1.0
17079,8911,446,495,512,10364,17,9698,9564,11,24,99,1.0
17081,33031,4026,1107,1791,39955,17,38827,34315,3251,246,1015,1.0
17083,21864,532,498,722,23616,17,22985,22431,93,77,384,1.0
17085,21273,845,805,1075,23998,17,22678,22046,107,72,453,1.0
17087,10793,1409,404,735,13341,17,12582,11197,1006,22,357,1.0
17089,381318,31780,20754,84612,518464,17,515269,384548,29422,17895,83404,1.0
17091,86728,17982,2317,8031,115058,17,113449,87986,17187,1052,7224,1.0
17093,95046,7556,4508,9531,116641,17,114736,95891,6585,3467,8793,1.0
17095,45006,4638,1381,3241,54266,17,52919,46329,3810,338,2442,1.0
17097,525381,52855,47701,84327,710264,17,703462,528204,49033,44358,81867,1.0
17099,103276,4231,2836,6318,116661,17,113924,106187,2186,762,4789,1.0
17101,13965,2163,576,981,17685,17,16833,14696,1608,38,491,1.0
17103,31590,2659,1228,2078,37555,17,36031,32745,1735,246,1305,1.0
17105,33895,3319,1642,2360,41216,17,38950,35752,1915,199,1084,1.0
17107,25445,3220,1195,1665,31525,17,30305,27008,2285,184,828,1.0
17109,28468,2294,1232,1570,33564,17,32612,29476,1642,580,914,1.0
17111,275168,5723,10096,20552,311539,17,308760,278257,3283,7807,19413,1.0
17113,140830,14015,9225,8493,172563,17,169572,142940,12426,7227,6979,1.0
17115,86088,18894,2663,4898,112543,17,110768,87855,18027,1118,3768,1.0
17117,43987,1834,1507,1920,49248,17,47765,46596,359,129,681,1.0
17119,234516,23500,5389,10583,273988,17,269282,237641,21235,2254,8152,1.0
17121,35145,2552,1511,1992,41200,17,39437,36734,1557,224,922,1.0
17123,11453,647,707,853,13660,17,12640,12271,44,45,280,1.0
17125,13554,715,682,768,15719,17,14666,14382,54,40,190,1.0
17127,13735,1139,430,725,16029,17,15429,14033,904,42,450,1.0
17129,11912,419,401,509,13241,17,12705,12383,76,30,216,1.0
17131,14995,610,648,643,16896,17,16434,16153,47,52,182,1.0
17133,31598,613,674,885,33770,17,32957,32287,69,144,457,1.0
17135,26886,2007,1235,1383,31511,17,30104,28632,952,111,409,1.0
17137,31192,2666,878,1536,36272,17,35547,32321,2122,168,936,1.0
17139,13918,499,518,589,15524,17,14846,14622,41,31,152,1.0
17141,48085,1551,1378,3655,54669,17,53497,49867,483,250,2897,1.0
17143,137139,33918,7547,9995,188599,17,186494,138800,33030,5856,8808,1.0
17145,18933,2396,614,1209,23152,17,22350,19656,1866,87,741,1.0
17147,15589,700,615,719,17623,17,16729,16393,58,51,227,1.0
17149,14819,1170,997,1084,18070,17,16430,15928,275,38,189,1.0
17151,3962,456,208,220,4846,17,4470,4098,269,11,92,1.0
17153,3754,2154,326,469,6703,17,6161,3965,1994,13,189,1.0
17155,5544,211,203,338,6296,17,6006,5803,32,13,158,1.0
17157,28068,4080,891,1543,34582,17,33476,29318,3263,104,791,1.0
17159,14997,542,560,622,16721,17,16233,15795,78,119,241,1.0
17161,119058,14152,3838,12141,149189,17,147546,120382,13289,2419,11456,1.0
17163,172563,82761,6674,12514,274512,17,270056,174458,82302,3276,10020,1.0
17165,22354,1620,916,1261,26151,17,24913,23178,995,101,639,1.0
17167,162770,25266,5932,7981,201949,17,197465,165103,23335,3220,5807,1.0
17169,6715,587,355,329,7986,17,7544,7205,243,9,87,1.0
17171,4941,271,235,335,5782,17,5355,5279,9,12,55,1.0
17173,20431,1236,1155,1251,24073,17,22363,22045,50,56,212,1.0
17175,5424,295,246,310,6275,17,5994,5855,28,19,92,1.0
17177,40058,4872,1099,2473,48502,17,47711,41291,4275,297,1848,1.0
17179,127799,3324,3003,4407,138533,17,135394,130225,1374,999,2796,1.0
17181,16418,645,527,1060,18650,17,17808,16880,156,54,718,1.0
17183,64603,12480,2968,5051,85102,17,81625,67323,10571,564,3167,1.0
17185,11314,625,558,747,13244,17,11947,11576,77,70,224,1.0
17187,15173,846,675,1645,18339,17,17707,16165,303,94,1145,1.0
17189,13464,654,573,621,15312,17,14716,14376,101,42,197,1.0
17191,15514,804,708,855,17881,17,16760,16427,42,71,220,1.0
17193,13662,935,921,1012,16530,17,14665,14393,56,31,185,1.0
17195,52058,2288,1843,4517,60706,17,58498,53923,781,276,3518,1.0
17197,511332,78432,34626,58149,682539,17,677560,514664,75743,30833,56320,1.0
17199,59702,3726,1918,2791,68137,17,66357,61542,2540,561,1714,1.0
17201,225834,37644,9814,25096,298388,17,295266,228652,36108,6810,23696,1.0
17203,36243,1226,1201,1415,40085,17,38664,37643,187,213,621,1.0
