geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,62874,2339,450,1471,67134,17,67103,62868,2331,441,1463,10.0
17003,5021,2917,23,291,8252,17,8238,5018,2915,16,289,10.0
17005,16148,1086,73,483,17790,17,17768,16143,1080,68,477,10.0
17007,45727,1069,689,6694,54179,17,54165,45724,1064,686,6691,10.0
17009,5277,1284,19,370,6950,17,6937,5276,1280,16,365,10.0
17011,32943,228,240,1611,35022,17,34978,32937,212,228,1601,10.0
17013,5034,10,15,41,5100,17,5089,5032,7,12,38,10.0
17015,14913,129,58,311,15411,17,15387,14906,123,53,305,10.0
17017,11771,426,48,1417,13662,17,13642,11769,419,44,1410,10.0
17019,147610,24970,17986,10584,201150,17,201081,147600,24946,17969,10566,10.0
17021,33606,501,178,547,34832,17,34800,33610,495,167,528,10.0
17023,16031,52,62,211,16356,17,16335,16027,48,55,205,10.0
17025,13499,55,71,210,13835,17,13815,13499,47,63,206,10.0
17027,35289,1344,173,977,37783,17,37762,35284,1338,167,973,10.0
17029,50033,2080,538,1249,53900,17,53873,50029,2067,531,1246,10.0
17031,2877337,1287967,322908,707201,5195413,17,5194675,2877212,1287767,322672,707024,10.0
17033,18383,943,108,403,19837,17,19817,18381,934,103,399,10.0
17035,10855,40,30,129,11054,17,11048,10856,38,27,127,10.0
17037,89457,6744,2446,6542,105189,17,105160,89453,6732,2438,6537,10.0
17039,16041,90,70,387,16588,17,16561,16035,87,60,379,10.0
17041,19120,67,92,730,20009,17,19980,19113,58,83,726,10.0
17043,714144,42390,92344,68169,917047,17,916924,714140,42346,92304,68134,10.0
17045,18273,75,47,221,18616,17,18576,18268,64,33,211,10.0
17047,6584,34,27,91,6736,17,6721,6584,30,22,85,10.0
17049,33432,88,152,599,34271,17,34242,33429,79,147,587,10.0
17051,20755,991,65,369,22180,17,22140,20750,980,51,359,10.0
17053,13677,90,40,291,14098,17,14081,13677,85,37,282,10.0
17055,38637,135,138,685,39595,17,39561,38641,123,124,673,10.0
17057,34634,1287,122,1083,37126,17,37069,34625,1269,112,1063,10.0
17059,5478,14,9,104,5605,17,5589,5473,12,5,99,10.0
17061,13588,125,22,170,13905,17,13886,13588,119,16,163,10.0
17063,46939,622,339,2212,50112,17,50063,46933,605,327,2198,10.0
17065,8308,37,21,109,8475,17,8457,8305,31,19,102,10.0
17067,18729,61,51,288,19129,17,19104,18723,52,46,283,10.0
17069,4204,13,24,82,4323,17,4320,4205,13,22,80,10.0
17071,7198,20,20,108,7346,17,7331,7198,15,15,103,10.0
17073,47842,812,199,1663,50516,17,50486,47846,796,191,1653,10.0
17075,28162,245,119,1245,29771,17,29718,28155,233,103,1227,10.0
17077,46885,8597,1914,2856,60252,17,60218,46875,8589,1910,2844,10.0
17079,9564,18,27,106,9715,17,9698,9564,11,24,99,10.0
17081,34313,3259,257,1021,38850,17,38827,34315,3251,246,1015,10.0
17083,22434,95,81,392,23002,17,22985,22431,93,77,384,10.0
17085,22047,119,78,458,22702,17,22678,22046,107,72,453,10.0
17087,11198,1011,28,361,12598,17,12582,11197,1006,22,357,10.0
17089,384562,29454,17918,83426,515360,17,515269,384548,29422,17895,83404,10.0
17091,87993,17197,1068,7228,113486,17,113449,87986,17187,1052,7224,10.0
