geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,62864,2332,444,1464,67104,17,67103,62868,2331,441,1463,17.0
17003,5019,2916,17,291,8243,17,8238,5018,2915,16,289,17.0
17005,16143,1083,69,479,17774,17,17768,16143,1080,68,477,17.0
17007,45723,1066,686,6689,54164,17,54165,45724,1064,686,6691,17.0
17009,5275,1280,17,367,6939,17,6937,5276,1280,16,365,17.0
17011,32931,217,231,1602,34981,17,34978,32937,212,228,1601,17.0
17013,5032,7,13,39,5091,17,5089,5032,7,12,38,17.0
17015,14899,125,55,305,15384,17,15387,14906,123,53,305,17.0
17017,11767,423,44,1412,13646,17,13642,11769,419,44,1410,17.0
17019,147601,24947,17975,10565,201088,17,201081,147600,24946,17969,10566,17.0
17021,33602,497,170,530,34799,17,34800,33610,495,167,528,17.0
17023,16026,50,55,206,16337,17,16335,16027,48,55,205,17.0
17025,13493,47,66,208,13814,17,13815,13499,47,63,206,17.0
17027,35282,1337,168,974,37761,17,37762,35284,1338,167,973,17.0
17029,50029,2067,533,1251,53880,17,53873,50029,2067,531,1246,17.0
17031,2877193,1287772,322728,707030,5194723,17,5194675,2877212,1287767,322672,707024,17.0
17033,18374,937,103,399,19813,17,19817,18381,934,103,399,17.0
17035,10855,39,27,130,11051,17,11048,10856,38,27,127,17.0
17037,89450,6737,2441,6542,105170,17,105160,89453,6732,2438,6537,17.0
17039,16032,89,62,382,16565,17,16561,16035,87,60,379,17.0
17041,19111,59,84,729,19983,17,19980,19113,58,83,726,17.0
17043,714140,42349,92308,68136,916933,17,916924,714140,42346,92304,68134,17.0
17045,18265,67,35,215,18582,17,18576,18268,64,33,211,17.0
17047,6581,30,23,85,6719,17,6721,6584,30,22,85,17.0
17049,33424,85,150,589,34248,17,34242,33429,79,147,587,17.0
17051,20748,981,54,360,22143,17,22140,20750,980,51,359,17.0
17053,13676,86,39,283,14084,17,14081,13677,85,37,282,17.0
17055,38633,124,124,676,39557,17,39561,38641,123,124,673,17.0
17057,34624,1270,114,1068,37076,17,37069,34625,1269,112,1063,17.0
17059,5473,13,5,100,5591,17,5589,5473,12,5,99,17.0
17061,13583,119,18,164,13884,17,13886,13588,119,16,163,17.0
17063,46934,608,334,2201,50077,17,50063,46933,605,327,2198,17.0
17065,8304,32,20,103,8459,17,8457,8305,31,19,102,17.0
17067,18721,53,50,284,19108,17,19104,18723,52,46,283,17.0
17069,4204,13,22,80,4319,17,4320,4205,13,22,80,17.0
17071,7194,16,15,104,7329,17,7331,7198,15,15,103,17.0
17073,47841,796,194,1655,50486,17,50486,47846,796,191,1653,17.0
17075,28150,235,109,1232,29726,17,29718,28155,233,103,1227,17.0
17077,46877,8593,1910,2851,60231,17,60218,46875,8589,1910,2844,17.0
17079,9564,14,26,100,9704,17,9698,9564,11,24,99,17.0
17081,34308,3253,249,1017,38827,17,38827,34315,3251,246,1015,17.0
17083,22429,96,78,384,22987,17,22985,22431,93,77,384,17.0
