geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,62931,2485,598,1587,67601,17,67103,62868,2331,441,1463,5.0
17003,5050,2957,65,332,8404,17,8238,5018,2915,16,289,5.0
17005,16148,1146,133,559,17986,17,17768,16143,1080,68,477,5.0
17007,45756,1117,747,6741,54361,17,54165,45724,1064,686,6691,5.0
17009,5301,1316,60,400,7077,17,6937,5276,1280,16,365,5.0
17011,33005,337,397,1735,35474,17,34978,32937,212,228,1601,5.0
17013,5044,27,51,69,5191,17,5089,5032,7,12,38,5.0
17015,14942,224,132,376,15674,17,15387,14906,123,53,305,5.0
17017,11810,486,123,1465,13884,17,13642,11769,419,44,1410,5.0
17019,147713,25202,18207,10779,201901,17,201081,147600,24946,17969,10566,5.0
17021,33660,639,305,663,35267,17,34800,33610,495,167,528,5.0
17023,16076,133,122,267,16598,17,16335,16027,48,55,205,5.0
17025,13536,99,131,267,14033,17,13815,13499,47,63,206,5.0
17027,35321,1432,260,1065,38078,17,37762,35284,1338,167,973,5.0
17029,50062,2202,654,1371,54289,17,53873,50029,2067,531,1246,5.0
17031,2878729,1290137,325526,709153,5203545,17,5194675,2877212,1287767,322672,707024,5.0
17033,18422,1004,182,485,20093,17,19817,18381,934,103,399,5.0
17035,10871,97,92,191,11251,17,11048,10856,38,27,127,5.0
17037,89510,6862,2577,6675,105624,17,105160,89453,6732,2438,6537,5.0
17039,16067,174,154,441,16836,17,16561,16035,87,60,379,5.0
17041,19152,151,183,823,20309,17,19980,19113,58,83,726,5.0
17043,714442,42948,92757,68616,918763,17,916924,714140,42346,92304,68134,5.0
17045,18361,207,182,331,19081,17,18576,18268,64,33,211,5.0
17047,6583,59,53,114,6809,17,6721,6584,30,22,85,5.0
17049,33472,165,237,676,34550,17,34242,33429,79,147,587,5.0
17051,20793,1079,150,474,22496,17,22140,20750,980,51,359,5.0
17053,13701,143,106,337,14287,17,14081,13677,85,37,282,5.0
17055,38690,274,280,815,40059,17,39561,38641,123,124,673,5.0
17057,34675,1396,241,1211,37523,17,37069,34625,1269,112,1063,5.0
17059,5491,43,41,136,5711,17,5589,5473,12,5,99,5.0
17061,13604,197,88,218,14107,17,13886,13588,119,16,163,5.0
17063,47060,798,514,2369,50741,17,50063,46933,605,327,2198,5.0
17065,8315,81,74,154,8624,17,8457,8305,31,19,102,5.0
17067,18748,151,154,382,19435,17,19104,18723,52,46,283,5.0
17069,4210,29,43,99,4381,17,4320,4205,13,22,80,5.0
17071,7222,75,57,171,7525,17,7331,7198,15,15,103,5.0
17073,47893,938,311,1761,50903,17,50486,47846,796,191,1653,5.0
17075,28222,395,270,1374,30261,17,29718,28155,233,103,1227,5.0
17077,46919,8704,2060,2984,60667,17,60218,46875,8589,1910,2844,5.0
17079,9580,67,70,147,9864,17,9698,9564,11,24,99,5.0
17081,34345,3363,365,1114,39187,17,38827,34315,3251,246,1015,5.0
17083,22470,130,129,423,23152,17,22985,22431,93,77,384,5.0
17085,22073,175,159,525,22932,17,22678,22046,107,72,453,5.0
17087,11224,1075,73,401,12773,17,12582,11197,1006,22,357,5.0
17089,384673,29743,18250,83638,516304,17,515269,384548,29422,17895,83404,5.0
17091,88043,17319,1204,7347,113913,17,113449,87986,17187,1052,7224,5.0
17093,95969,6739,3619,8914,115241,17,114736,95891,6585,3467,8793,5.0
17095,46337,3910,480,2535,53262,17,52919,46329,3810,338,2442,5.0
17097,528490,49549,44826,82271,705136,17,703462,528204,49033,44358,81867,5.0
17099,106256,2443,1033,5032,114764,17,113924,106187,2186,762,4789,5.0
17101,14709,1676,101,560,17046,17,16833,14696,1608,38,491,5.0
17103,32780,1843,362,1421,36406,17,36031,32745,1735,246,1305,5.0
17105,35818,2101,410,1271,39600,17,38950,35752,1915,199,1084,5.0
17107,27048,2419,305,942,30714,17,30305,27008,2285,184,828,5.0
17109,29512,1733,672,987,32904,17,32612,29476,1642,580,914,5.0
17111,278336,3582,8077,19648,309643,17,308760,278257,3283,7807,19413,5.0
17113,143068,12677,7494,7223,170462,17,169572,142940,12426,7227,6979,5.0
17115,87906,18170,1292,3911,111279,17,110768,87855,18027,1118,3768,5.0
17117,46675,522,303,863,48363,17,47765,46596,359,129,681,5.0
17119,237817,21574,2673,8499,270563,17,269282,237641,21235,2254,8152,5.0
17121,36795,1671,378,1044,39888,17,39437,36734,1557,224,922,5.0
17123,12305,125,128,372,12930,17,12640,12271,44,45,280,5.0
17125,14403,127,108,265,14903,17,14666,14382,54,40,190,5.0
17127,14044,947,85,491,15567,17,15429,14033,904,42,450,5.0
17129,12410,124,78,271,12883,17,12705,12383,76,30,216,5.0
17131,16178,116,126,251,16671,17,16434,16153,47,52,182,5.0
17133,32307,141,205,507,33160,17,32957,32287,69,144,457,5.0
17135,28706,1081,258,547,30592,17,30104,28632,952,111,409,5.0
17137,32369,2225,249,1022,35865,17,35547,32321,2122,168,936,5.0
17139,14622,105,90,217,15034,17,14846,14622,41,31,152,5.0
17141,49899,610,409,3015,53933,17,53497,49867,483,250,2897,5.0
17143,138875,33203,6047,8966,187091,17,186494,138800,33030,5856,8808,5.0
17145,19687,1928,154,802,22571,17,22350,19656,1866,87,741,5.0
17147,16431,122,133,298,16984,17,16729,16393,58,51,227,5.0
17149,15971,396,164,299,16830,17,16430,15928,275,38,189,5.0
17151,4115,288,29,118,4550,17,4470,4098,269,11,92,5.0
17153,3989,2025,54,246,6314,17,6161,3965,1994,13,189,5.0
17155,5814,55,47,185,6101,17,6006,5803,32,13,158,5.0
17157,29351,3367,215,916,33849,17,33476,29318,3263,104,791,5.0
17159,15812,131,190,280,16413,17,16233,15795,78,119,241,5.0
17161,120441,13479,2580,11593,148093,17,147546,120382,13289,2419,11456,5.0
17163,174665,82603,3726,10349,271343,17,270056,174458,82302,3276,10020,5.0
17165,23236,1084,202,718,25240,17,24913,23178,995,101,639,5.0
17167,165257,23584,3524,6135,198500,17,197465,165103,23335,3220,5807,5.0
17169,7227,296,56,131,7710,17,7544,7205,243,9,87,5.0
17171,5290,50,48,92,5480,17,5355,5279,9,12,55,5.0
17173,22098,193,200,334,22825,17,22363,22045,50,56,212,5.0
17175,5855,58,48,125,6086,17,5994,5855,28,19,92,5.0
17177,41324,4374,393,1925,48016,17,47711,41291,4275,297,1848,5.0
17179,130323,1631,1212,3035,136201,17,135394,130225,1374,999,2796,5.0
17181,16915,225,119,791,18050,17,17808,16880,156,54,718,5.0
17183,67428,10846,876,3425,82575,17,81625,67323,10571,564,3167,5.0
17185,11637,160,146,303,12246,17,11947,11576,77,70,224,5.0
17187,16188,380,167,1212,17947,17,17707,16165,303,94,1145,5.0
17189,14389,169,98,264,14920,17,14716,14376,101,42,197,5.0
17191,16453,121,160,295,17029,17,16760,16427,42,71,220,5.0
17193,14444,174,164,283,15065,17,14665,14393,56,31,185,5.0
17195,53980,978,466,3696,59120,17,58498,53923,781,276,3518,5.0
17197,514877,76152,31306,56735,679070,17,677560,514664,75743,30833,56320,5.0
17199,61604,2702,750,1887,66943,17,66357,61542,2540,561,1714,5.0
17201,228780,36357,7148,23975,296260,17,295266,228652,36108,6810,23696,5.0
17203,37678,298,361,741,39078,17,38664,37643,187,213,621,5.0
