geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,62842,2373,467,1490,67172,17,67103,62868,2331,441,1463,10.0
17003,5014,2917,29,301,8261,17,8238,5018,2915,16,289,10.0
17005,16115,1101,75,489,17780,17,17768,16143,1080,68,477,10.0
17007,45708,1076,706,6706,54196,17,54165,45724,1064,686,6691,10.0
17009,5271,1295,24,373,6963,17,6937,5276,1280,16,365,10.0
17011,32880,249,260,1647,35036,17,34978,32937,212,228,1601,10.0
17013,5024,14,18,40,5096,17,5089,5032,7,12,38,10.0
17015,14885,137,72,327,15421,17,15387,14906,123,53,305,10.0
17017,11747,429,63,1422,13661,17,13642,11769,419,44,1410,10.0
17019,147552,25002,18031,10601,201186,17,201081,147600,24946,17969,10566,10.0
17021,33579,529,208,554,34870,17,34800,33610,495,167,528,10.0
17023,16009,68,64,222,16363,17,16335,16027,48,55,205,10.0
17025,13475,64,76,214,13829,17,13815,13499,47,63,206,10.0
17027,35260,1357,191,995,37803,17,37762,35284,1338,167,973,10.0
17029,49990,2087,555,1265,53897,17,53873,50029,2067,531,1246,10.0
17031,2877064,1287951,323337,707255,5195607,17,5194675,2877212,1287767,322672,707024,10.0
17033,18347,962,122,414,19845,17,19817,18381,934,103,399,10.0
17035,10827,48,38,137,11050,17,11048,10856,38,27,127,10.0
17037,89417,6766,2475,6560,105218,17,105160,89453,6732,2438,6537,10.0
17039,16010,110,78,400,16598,17,16561,16035,87,60,379,10.0
17041,19090,88,109,755,20042,17,19980,19113,58,83,726,10.0
17043,714054,42481,92387,68213,917135,17,916924,714140,42346,92304,68134,10.0
17045,18221,92,63,240,18616,17,18576,18268,64,33,211,10.0
17047,6577,41,30,91,6739,17,6721,6584,30,22,85,10.0
17049,33400,110,171,604,34285,17,34242,33429,79,147,587,10.0
17051,20704,998,74,392,22168,17,22140,20750,980,51,359,10.0
17053,13651,105,55,295,14106,17,14081,13677,85,37,282,10.0
17055,38577,153,167,698,39595,17,39561,38641,123,124,673,10.0
17057,34599,1300,135,1084,37118,17,37069,34625,1269,112,1063,10.0
17059,5464,23,15,105,5607,17,5589,5473,12,5,99,10.0
17061,13567,130,29,181,13907,17,13886,13588,119,16,163,10.0
17063,46916,656,372,2226,50170,17,50063,46933,605,327,2198,10.0
17065,8299,48,31,115,8493,17,8457,8305,31,19,102,10.0
17067,18668,76,77,311,19132,17,19104,18723,52,46,283,10.0
17069,4201,19,28,85,4333,17,4320,4205,13,22,80,10.0
17071,7181,27,27,117,7352,17,7331,7198,15,15,103,10.0
17073,47801,829,228,1678,50536,17,50486,47846,796,191,1653,10.0
17075,28105,276,133,1255,29769,17,29718,28155,233,103,1227,10.0
17077,46847,8619,1943,2866,60275,17,60218,46875,8589,1910,2844,10.0
17079,9554,16,34,111,9715,17,9698,9564,11,24,99,10.0
17081,34289,3275,272,1042,38878,17,38827,34315,3251,246,1015,10.0
17083,22424,105,85,398,23012,17,22985,22431,93,77,384,10.0
17085,22043,128,86,482,22739,17,22678,22046,107,72,453,10.0
17087,11179,1017,33,381,12610,17,12582,11197,1006,22,357,10.0
17089,384491,29481,17971,83459,515402,17,515269,384548,29422,17895,83404,10.0
17091,87925,17221,1098,7244,113488,17,113449,87986,17187,1052,7224,10.0
17093,95871,6619,3496,8815,114801,17,114736,95891,6585,3467,8793,10.0
17095,46297,3833,367,2459,52956,17,52919,46329,3810,338,2442,10.0
17097,528156,49160,44450,81940,703706,17,703462,528204,49033,44358,81867,10.0
17099,106099,2239,829,4828,113995,17,113924,106187,2186,762,4789,10.0
17101,14677,1627,56,501,16861,17,16833,14696,1608,38,491,10.0
17103,32711,1758,276,1333,36078,17,36031,32745,1735,246,1305,10.0
17105,35707,1964,248,1120,39039,17,38950,35752,1915,199,1084,10.0
17107,26962,2309,214,854,30339,17,30305,27008,2285,184,828,10.0
17109,29437,1664,602,928,32631,17,32612,29476,1642,580,914,10.0
