geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,91248,41548,37674,39441,209911,17,67103,62868,2331,441,1463,0.05
17003,14720,13185,10224,11935,50064,17,8238,5018,2915,16,289,0.05
17005,27056,17160,16752,15717,76685,17,17768,16143,1080,68,477,0.05
17007,55010,18360,18666,21495,113531,17,54165,45724,1064,686,6691,0.05
17009,15171,12897,10587,10474,49129,17,6937,5276,1280,16,365,0.05
17011,60536,40138,38917,40999,180590,17,34978,32937,212,228,1601,0.05
17013,9969,6164,5688,6498,28319,17,5089,5032,7,12,38,0.05
17015,30427,19113,19327,19779,88646,17,15387,14906,123,53,305,0.05
17017,25118,17151,16067,18290,76626,17,13642,11769,419,44,1410,0.05
17019,194312,91247,87347,80629,453535,17,201081,147600,24946,17969,10566,0.05
17021,56111,31300,32653,32164,152228,17,34800,33610,495,167,528,0.05
17023,28622,20248,20679,20480,90029,17,16335,16027,48,55,205,0.05
17025,25008,16758,15783,17077,74626,17,13815,13499,47,63,206,0.05
17027,52246,25320,25905,25232,128703,17,37762,35284,1338,167,973,0.05
17029,71403,31109,31326,30085,163923,17,53873,50029,2067,531,1246,0.05
17031,3426725,2055635,1218567,1517440,8218367,17,5194675,2877212,1287767,322672,707024,0.05
17033,31290,21279,21071,20826,94466,17,19817,18381,934,103,399,0.05
17035,22763,14569,15231,15633,68196,17,11048,10856,38,27,127,0.05
17037,116676,45040,40742,44467,246925,17,105160,89453,6732,2438,6537,0.05
17039,29912,19434,20365,20825,90536,17,16561,16035,87,60,379,0.05
17041,38061,24906,25484,26252,114703,17,19980,19113,58,83,726,0.05
17043,798709,206502,243380,228453,1477044,17,916924,714140,42346,92304,68134,0.05
17045,46223,33036,32061,35011,146331,17,18576,18268,64,33,211,0.05
17047,12732,7689,7990,7569,35980,17,6721,6584,30,22,85,0.05
17049,48683,25240,25221,24483,123627,17,34242,33429,79,147,587,0.05
17051,43098,28938,28944,28054,129034,17,22140,20750,980,51,359,0.05
17053,26563,17530,17405,16533,78031,17,14081,13677,85,37,282,0.05
17055,65409,39645,40398,41140,186592,17,39561,38641,123,124,673,0.05
17057,57805,35975,33978,32958,160716,17,37069,34625,1269,112,1063,0.05
17059,12503,9994,9530,9864,41891,17,5589,5473,12,5,99,0.05
17061,26784,17597,17745,19678,81804,17,13886,13588,119,16,163,0.05
17063,85698,47733,48782,51596,233809,17,50063,46933,605,327,2198,0.05
17065,19355,12451,12903,12400,57109,17,8457,8305,31,19,102,0.05
17067,37943,26579,26846,25718,117086,17,19104,18723,52,46,283,0.05
17069,8068,4796,5077,5367,23308,17,4320,4205,13,22,80,0.05
17071,18135,13825,13436,13272,58668,17,7331,7198,15,15,103,0.05
17073,70844,33561,34404,33802,172611,17,50486,47846,796,191,1653,0.05
17075,56968,36638,38588,38137,170331,17,29718,28155,233,103,1227,0.05
17077,76434,44320,38430,40179,199363,17,60218,46875,8589,1910,2844,0.05
17079,18579,13833,12288,13921,58621,17,9698,9564,11,24,99,0.05
17081,53754,32715,30489,28051,145009,17,38827,34315,3251,246,1015,0.05
17083,28016,12550,11776,11810,64152,17,22985,22431,93,77,384,0.05
