geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,63211,3079,1245,2204,69739,17,67103,62868,2331,441,1463,2.0
17003,5147,3128,231,534,9040,17,8238,5018,2915,16,289,2.0
17005,16233,1391,427,742,18793,17,17768,16143,1080,68,477,2.0
17007,45798,1355,1004,6909,55066,17,54165,45724,1064,686,6691,2.0
17009,5394,1514,240,597,7745,17,6937,5276,1280,16,365,2.0
17011,33260,1040,1016,2429,37745,17,34978,32937,212,228,1601,2.0
17013,5094,150,159,156,5559,17,5089,5032,7,12,38,2.0
17015,15120,523,450,713,16806,17,15387,14906,123,53,305,2.0
17017,11907,754,426,1723,14810,17,13642,11769,419,44,1410,2.0
17019,148259,26147,19266,11714,205386,17,201081,147600,24946,17969,10566,2.0
17021,33853,1177,801,1159,36990,17,34800,33610,495,167,528,2.0
17023,16198,453,487,601,17739,17,16335,16027,48,55,205,2.0
17025,13600,396,400,525,14921,17,13815,13499,47,63,206,2.0
17027,35430,1839,709,1468,39446,17,37762,35284,1338,167,973,2.0
17029,50273,2631,1109,1810,55823,17,53873,50029,2067,531,1246,2.0
17031,2884571,1299699,337955,717915,5240140,17,5194675,2877212,1287767,322672,707024,2.0
17033,18570,1356,512,808,21246,17,19817,18381,934,103,399,2.0
17035,10982,336,345,412,12075,17,11048,10856,38,27,127,2.0
17037,89825,7497,3195,7169,107686,17,105160,89453,6732,2438,6537,2.0
17039,16190,514,470,785,17959,17,16561,16035,87,60,379,2.0
17041,19293,527,652,1219,21691,17,19980,19113,58,83,726,2.0
17043,715506,45135,94666,70568,925875,17,916924,714140,42346,92304,68134,2.0
17045,18597,761,753,853,20964,17,18576,18268,64,33,211,2.0
17047,6666,188,183,229,7266,17,6721,6584,30,22,85,2.0
17049,33651,625,650,1073,35999,17,34242,33429,79,147,587,2.0
17051,20999,1525,648,919,24091,17,22140,20750,980,51,359,2.0
17053,13828,422,376,622,15248,17,14081,13677,85,37,282,2.0
17055,38829,928,912,1444,42113,17,39561,38641,123,124,673,2.0
17057,34898,1924,848,1777,39447,17,37069,34625,1269,112,1063,2.0
17059,5548,239,223,291,6301,17,5589,5473,12,5,99,2.0
17061,13729,535,395,507,15166,17,13886,13588,119,16,163,2.0
17063,47575,1568,1390,3156,53689,17,50063,46933,605,327,2198,2.0
17065,8422,276,287,363,9348,17,8457,8305,31,19,102,2.0
17067,18978,606,573,833,20990,17,19104,18723,52,46,283,2.0
17069,4244,123,116,165,4648,17,4320,4205,13,22,80,2.0
17071,7301,275,295,385,8256,17,7331,7198,15,15,103,2.0
17073,48208,1456,930,2231,52825,17,50486,47846,796,191,1653,2.0
17075,28496,964,844,1969,32273,17,29718,28155,233,103,1227,2.0
17077,47228,9262,2657,3488,62635,17,60218,46875,8589,1910,2844,2.0
17079,9606,321,286,370,10583,17,9698,9564,11,24,99,2.0
17081,34562,3783,861,1575,40781,17,38827,34315,3251,246,1015,2.0
17083,22547,349,336,596,23828,17,22985,22431,93,77,384,2.0
17085,22217,572,532,895,24216,17,22678,22046,107,72,453,2.0
17087,11388,1310,307,623,13628,17,12582,11197,1006,22,357,2.0
17089,385226,31075,19556,84681,520538,17,515269,384548,29422,17895,83404,2.0
17091,88303,17879,1917,7819,115918,17,113449,87986,17187,1052,7224,2.0
17093,96258,7300,4141,9408,117107,17,114736,95891,6585,3467,8793,2.0
17095,46566,4362,1000,3040,54968,17,52919,46329,3810,338,2442,2.0
17097,529551,51633,47001,84155,712340,17,703462,528204,49033,44358,81867,2.0
17099,106627,3549,2169,6009,118354,17,113924,106187,2186,762,4789,2.0
17101,14871,1961,407,858,18097,17,16833,14696,1608,38,491,2.0
17103,32957,2300,858,1850,37965,17,36031,32745,1735,246,1305,2.0
17105,36099,2875,1138,1995,42107,17,38950,35752,1915,199,1084,2.0
17107,27263,2948,893,1464,32568,17,30305,27008,2285,184,828,2.0
17109,29585,2083,1009,1337,34014,17,32612,29476,1642,580,914,2.0
17111,278722,4834,9206,20562,313324,17,308760,278257,3283,7807,19413,2.0
17113,143612,13653,8565,8051,173881,17,169572,142940,12426,7227,6979,2.0
17115,88149,18757,2001,4501,113408,17,110768,87855,18027,1118,3768,2.0
17117,46872,1261,1053,1470,50656,17,47765,46596,359,129,681,2.0
17119,238677,23107,4329,9997,276110,17,269282,237641,21235,2254,8152,2.0
17121,37015,2344,976,1646,41981,17,39437,36734,1557,224,922,2.0
17123,12478,457,475,691,14101,17,12640,12271,44,45,280,2.0
17125,14571,446,446,576,16039,17,14666,14382,54,40,190,2.0
17127,14192,1163,264,694,16313,17,15429,14033,904,42,450,2.0
17129,12447,345,266,430,13488,17,12705,12383,76,30,216,2.0
17131,16286,379,405,503,17573,17,16434,16153,47,52,182,2.0
17133,32469,401,476,805,34151,17,32957,32287,69,144,457,2.0
17135,28912,1709,803,1106,32530,17,30104,28632,952,111,409,2.0
17137,32524,2578,648,1366,37116,17,35547,32321,2122,168,936,2.0
