geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,64758,5918,4131,4926,79733,17,67103,62868,2331,441,1463,0.5
17003,5768,3772,1130,1339,12009,17,8238,5018,2915,16,289,0.5
17005,16838,2676,1651,2045,23210,17,17768,16143,1080,68,477,0.5
17007,46353,2822,2261,7871,59307,17,54165,45724,1064,686,6691,0.5
17009,5949,2295,1053,1461,10758,17,6937,5276,1280,16,365,0.5
17011,34785,4031,3994,5258,48068,17,34978,32937,212,228,1601,0.5
17013,5363,608,746,688,7405,17,5089,5032,7,12,38,0.5
17015,15763,2032,1818,2125,21738,17,15387,14906,123,53,305,0.5
17017,12537,2051,1798,2958,19344,17,13642,11769,419,44,1410,0.5
17019,150684,30623,24077,16380,221764,17,201081,147600,24946,17969,10566,0.5
17021,35046,3681,3311,3472,45510,17,34800,33610,495,167,528,0.5
17023,16773,2067,1997,2078,22915,17,16335,16027,48,55,205,0.5
17025,14159,1681,1664,1701,19205,17,13815,13499,47,63,206,0.5
17027,36114,3747,2494,3255,45610,17,37762,35284,1338,167,973,0.5
17029,51286,4854,3407,4038,63585,17,53873,50029,2067,531,1246,0.5
17031,2914844,1346106,398840,765588,5425378,17,5194675,2877212,1287767,322672,707024,0.5
17033,19258,2914,2022,2140,26334,17,19817,18381,934,103,399,0.5
17035,11583,1466,1491,1579,16119,17,11048,10856,38,27,127,0.5
17037,91027,10275,6078,9754,117134,17,105160,89453,6732,2438,6537,0.5
17039,16811,2048,1969,2209,23037,17,16561,16035,87,60,379,0.5
17041,20092,2357,2521,3268,28238,17,19980,19113,58,83,726,0.5
17043,720698,56684,104124,80245,961751,17,916924,714140,42346,92304,68134,0.5
17045,20083,3348,3484,3529,30444,17,18576,18268,64,33,211,0.5
17047,6772,715,788,850,9125,17,6721,6584,30,22,85,0.5
17049,34376,2461,2555,2873,42265,17,34242,33429,79,147,587,0.5
17051,21903,3862,2818,3078,31661,17,22140,20750,980,51,359,0.5
17053,14474,1592,1709,1831,19606,17,14081,13677,85,37,282,0.5
17055,40067,4040,3879,4444,52430,17,39561,38641,123,124,673,0.5
17057,36029,4653,3363,4256,48301,17,37069,34625,1269,112,1063,0.5
17059,6024,966,908,992,8890,17,5589,5473,12,5,99,0.5
17061,14349,1818,1887,1901,19955,17,13886,13588,119,16,163,0.5
17063,49800,5203,5182,6679,66864,17,50063,46933,605,327,2198,0.5
17065,8974,1200,1342,1401,12917,17,8457,8305,31,19,102,0.5
17067,19828,2738,2477,2778,27821,17,19104,18723,52,46,283,0.5
17069,4385,527,545,561,6018,17,4320,4205,13,22,80,0.5
17071,7760,1381,1383,1366,11890,17,7331,7198,15,15,103,0.5
17073,49242,4004,3771,4935,61952,17,50486,47846,796,191,1653,0.5
