geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,62868,2331,441,1463,67103,17,67103,62868,2331,441,1463,23.0
17003,5018,2915,16,289,8238,17,8238,5018,2915,16,289,23.0
17005,16143,1080,68,477,17768,17,17768,16143,1080,68,477,23.0
17007,45724,1064,686,6691,54165,17,54165,45724,1064,686,6691,23.0
17009,5276,1280,16,365,6937,17,6937,5276,1280,16,365,23.0
17011,32937,212,228,1601,34978,17,34978,32937,212,228,1601,23.0
17013,5031,7,12,38,5088,17,5089,5032,7,12,38,23.0
17015,14906,123,53,305,15387,17,15387,14906,123,53,305,23.0
17017,11769,419,44,1410,13642,17,13642,11769,419,44,1410,23.0
17019,147600,24946,17969,10566,201081,17,201081,147600,24946,17969,10566,23.0
17021,33610,495,167,528,34800,17,34800,33610,495,167,528,23.0
17023,16027,48,55,205,16335,17,16335,16027,48,55,205,23.0
17025,13499,47,63,206,13815,17,13815,13499,47,63,206,23.0
17027,35284,1338,167,973,37762,17,37762,35284,1338,167,973,23.0
17029,50029,2067,531,1246,53873,17,53873,50029,2067,531,1246,23.0
17031,2877212,1287767,322671,707023,5194673,17,5194675,2877212,1287767,322672,707024,23.0
17033,18381,934,103,399,19817,17,19817,18381,934,103,399,23.0
17035,10856,38,27,127,11048,17,11048,10856,38,27,127,23.0
17037,89453,6732,2438,6537,105160,17,105160,89453,6732,2438,6537,23.0
17039,16035,87,60,379,16561,17,16561,16035,87,60,379,23.0
17041,19113,58,83,726,19980,17,19980,19113,58,83,726,23.0
17043,714140,42346,92304,68134,916924,17,916924,714140,42346,92304,68134,23.0
17045,18268,64,33,211,18576,17,18576,18268,64,33,211,23.0
17047,6584,30,22,85,6721,17,6721,6584,30,22,85,23.0
17049,33429,79,147,587,34242,17,34242,33429,79,147,587,23.0
17051,20750,980,51,359,22140,17,22140,20750,980,51,359,23.0
17053,13677,85,37,282,14081,17,14081,13677,85,37,282,23.0
17055,38641,123,124,673,39561,17,39561,38641,123,124,673,23.0
17057,34625,1269,112,1063,37069,17,37069,34625,1269,112,1063,23.0
17059,5473,12,5,99,5589,17,5589,5473,12,5,99,23.0
17061,13588,119,16,163,13886,17,13886,13588,119,16,163,23.0
17063,46933,605,327,2198,50063,17,50063,46933,605,327,2198,23.0
17065,8305,31,20,102,8458,17,8457,8305,31,19,102,23.0
