geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,62870,2331,441,1465,67107,17,67103,62868,2331,441,1463,23.0
17003,5018,2915,16,289,8238,17,8238,5018,2915,16,289,23.0
17005,16144,1080,68,477,17769,17,17768,16143,1080,68,477,23.0
17007,45724,1064,687,6691,54166,17,54165,45724,1064,686,6691,23.0
17009,5276,1280,16,365,6937,17,6937,5276,1280,16,365,23.0
17011,32938,214,228,1601,34981,17,34978,32937,212,228,1601,23.0
17013,5031,7,12,38,5088,17,5089,5032,7,12,38,23.0
17015,14905,123,54,305,15387,17,15387,14906,123,53,305,23.0
17017,11768,420,45,1411,13644,17,13642,11769,419,44,1410,23.0
17019,147599,24947,17969,10567,201082,17,201081,147600,24946,17969,10566,23.0
17021,33610,495,167,529,34801,17,34800,33610,495,167,528,23.0
17023,16026,48,55,205,16334,17,16335,16027,48,55,205,23.0
17025,13496,47,63,206,13812,17,13815,13499,47,63,206,23.0
17027,35284,1338,167,973,37762,17,37762,35284,1338,167,973,23.0
17029,50029,2068,531,1246,53874,17,53873,50029,2067,531,1246,23.0
17031,2877207,1287776,322679,707026,5194688,17,5194675,2877212,1287767,322672,707024,23.0
17033,18381,934,104,399,19818,17,19817,18381,934,103,399,23.0
17035,10856,38,27,127,11048,17,11048,10856,38,27,127,23.0
17037,89452,6732,2438,6537,105159,17,105160,89453,6732,2438,6537,23.0
17039,16036,87,60,380,16563,17,16561,16035,87,60,379,23.0
17041,19112,59,83,726,19980,17,19980,19113,58,83,726,23.0
17043,714138,42347,92304,68135,916924,17,916924,714140,42346,92304,68134,23.0
17045,18267,64,33,212,18576,17,18576,18268,64,33,211,23.0
17047,6583,30,22,85,6720,17,6721,6584,30,22,85,23.0
17049,33429,79,147,587,34242,17,34242,33429,79,147,587,23.0
17051,20750,980,52,359,22141,17,22140,20750,980,51,359,23.0
17053,13677,85,37,282,14081,17,14081,13677,85,37,282,23.0
17055,38642,124,124,673,39563,17,39561,38641,123,124,673,23.0
17057,34624,1271,112,1063,37070,17,37069,34625,1269,112,1063,23.0
17059,5473,12,5,99,5589,17,5589,5473,12,5,99,23.0
17061,13587,119,16,163,13885,17,13886,13588,119,16,163,23.0
17063,46935,605,328,2199,50067,17,50063,46933,605,327,2198,23.0
17065,8305,31,20,102,8458,17,8457,8305,31,19,102,23.0
17067,18723,53,46,283,19105,17,19104,18723,52,46,283,23.0
17069,4205,13,22,80,4320,17,4320,4205,13,22,80,23.0
17071,7198,15,15,103,7331,17,7331,7198,15,15,103,23.0
17073,47846,796,191,1653,50486,17,50486,47846,796,191,1653,23.0
17075,28155,233,103,1226,29717,17,29718,28155,233,103,1227,23.0
17077,46875,8589,1910,2844,60218,17,60218,46875,8589,1910,2844,23.0
17079,9565,11,24,99,9699,17,9698,9564,11,24,99,23.0
17081,34313,3252,247,1015,38827,17,38827,34315,3251,246,1015,23.0
17083,22431,93,77,384,22985,17,22985,22431,93,77,384,23.0
17085,22046,107,72,453,22678,17,22678,22046,107,72,453,23.0
17087,11197,1006,22,357,12582,17,12582,11197,1006,22,357,23.0
17089,384548,29421,17897,83403,515269,17,515269,384548,29422,17895,83404,23.0
17091,87986,17187,1052,7224,113449,17,113449,87986,17187,1052,7224,23.0
17093,95891,6585,3468,8792,114736,17,114736,95891,6585,3467,8793,23.0
17095,46328,3811,339,2443,52921,17,52919,46329,3810,338,2442,23.0
17097,528201,49035,44358,81870,703464,17,703462,528204,49033,44358,81867,23.0
17099,106188,2186,762,4789,113925,17,113924,106187,2186,762,4789,23.0
17101,14696,1608,38,491,16833,17,16833,14696,1608,38,491,23.0
17103,32745,1736,246,1305,36032,17,36031,32745,1735,246,1305,23.0
17105,35753,1915,199,1084,38951,17,38950,35752,1915,199,1084,23.0
17107,27008,2286,184,828,30306,17,30305,27008,2285,184,828,23.0
17109,29475,1642,580,915,32612,17,32612,29476,1642,580,914,23.0
17111,278255,3283,7807,19413,308758,17,308760,278257,3283,7807,19413,23.0
17113,142942,12426,7227,6979,169574,17,169572,142940,12426,7227,6979,23.0
17115,87856,18027,1118,3769,110770,17,110768,87855,18027,1118,3768,23.0
17117,46595,359,129,682,47765,17,47765,46596,359,129,681,23.0
17119,237639,21237,2255,8153,269284,17,269282,237641,21235,2254,8152,23.0
17121,36733,1557,224,922,39436,17,39437,36734,1557,224,922,23.0
17123,12272,44,46,280,12642,17,12640,12271,44,45,280,23.0
17125,14380,54,40,190,14664,17,14666,14382,54,40,190,23.0
17127,14033,903,42,450,15428,17,15429,14033,904,42,450,23.0
17129,12384,76,31,217,12708,17,12705,12383,76,30,216,23.0
17131,16153,47,52,182,16434,17,16434,16153,47,52,182,23.0
17133,32287,69,145,458,32959,17,32957,32287,69,144,457,23.0
17135,28629,952,111,409,30101,17,30104,28632,952,111,409,23.0
17137,32319,2122,168,936,35545,17,35547,32321,2122,168,936,23.0
17139,14622,42,31,152,14847,17,14846,14622,41,31,152,23.0
17141,49868,483,250,2897,53498,17,53497,49867,483,250,2897,23.0
17143,138800,33030,5857,8809,186496,17,186494,138800,33030,5856,8808,23.0
17145,19654,1866,87,741,22348,17,22350,19656,1866,87,741,23.0
17147,16393,58,51,228,16730,17,16729,16393,58,51,227,23.0
17149,15927,275,38,189,16429,17,16430,15928,275,38,189,23.0
17151,4098,269,11,92,4470,17,4470,4098,269,11,92,23.0
17153,3965,1994,13,189,6161,17,6161,3965,1994,13,189,23.0
17155,5803,32,14,159,6008,17,6006,5803,32,13,158,23.0
17157,29318,3263,104,790,33475,17,33476,29318,3263,104,791,23.0
17159,15794,78,119,241,16232,17,16233,15795,78,119,241,23.0
17161,120382,13289,2420,11455,147546,17,147546,120382,13289,2419,11456,23.0
17163,174459,82301,3276,10021,270057,17,270056,174458,82302,3276,10020,23.0
17165,23178,995,101,640,24914,17,24913,23178,995,101,639,23.0
17167,165102,23335,3222,5808,197467,17,197465,165103,23335,3220,5807,23.0
17169,7205,243,9,87,7544,17,7544,7205,243,9,87,23.0
17171,5278,9,12,55,5354,17,5355,5279,9,12,55,23.0
17173,22043,51,56,212,22362,17,22363,22045,50,56,212,23.0
17175,5855,29,19,92,5995,17,5994,5855,28,19,92,23.0
17177,41291,4275,297,1846,47709,17,47711,41291,4275,297,1848,23.0
17179,130223,1377,999,2797,135396,17,135394,130225,1374,999,2796,23.0
17181,16881,156,54,718,17809,17,17808,16880,156,54,718,23.0
17183,67322,10572,564,3167,81625,17,81625,67323,10571,564,3167,23.0
17185,11576,77,70,224,11947,17,11947,11576,77,70,224,23.0
17187,16165,303,94,1145,17707,17,17707,16165,303,94,1145,23.0
17189,14375,101,42,197,14715,17,14716,14376,101,42,197,23.0
17191,16427,42,71,220,16760,17,16760,16427,42,71,220,23.0
17193,14392,56,31,185,14664,17,14665,14393,56,31,185,23.0
17195,53923,781,276,3518,58498,17,58498,53923,781,276,3518,23.0
17197,514665,75743,30833,56319,677560,17,677560,514664,75743,30833,56320,23.0
17199,61542,2540,561,1714,66357,17,66357,61542,2540,561,1714,23.0
17201,228648,36108,6810,23696,295262,17,295266,228652,36108,6810,23696,23.0
17203,37641,187,213,621,38662,17,38664,37643,187,213,621,23.0
